timestamp,id_asset,close
2017-07-14,2,0.090993
2017-07-15,2,0.087635
2017-07-16,2,0.082241
2017-07-17,2,0.087537
2017-07-18,2,0.107732
2017-07-19,2,0.086853
2017-07-20,2,0.080509
2017-07-21,2,0.081581
2017-07-22,2,0.082474
2017-07-23,2,0.083533
2017-07-24,2,0.083161
2017-07-25,2,0.079654
2017-07-26,2,0.079892
2017-07-27,2,0.077449
2017-07-28,2,0.068802
2017-07-29,2,0.075773
2017-07-30,2,0.070109
2017-07-31,2,0.072484
2017-08-01,2,0.083568
2017-08-02,2,0.08016
2017-08-03,2,0.078965
2017-08-04,2,0.076475
2017-08-05,2,0.07916
2017-08-06,2,0.081029
2017-08-07,2,0.081171
2017-08-08,2,0.085296
2017-08-09,2,0.083159
2017-08-10,2,0.084466
2017-08-11,2,0.084941
2017-08-12,2,0.080163
2017-08-13,2,0.073824
2017-08-14,2,0.070899
2017-08-15,2,0.069395
2017-08-16,2,0.069743
2017-08-17,1,4285.08
2017-08-17,2,0.070479
2017-08-17,3,302.0
2017-08-18,1,4108.37
2017-08-18,2,0.071433
2017-08-18,3,293.96
2017-08-19,1,4139.98
2017-08-19,2,0.070036
2017-08-19,3,290.91
2017-08-20,1,4086.29
2017-08-20,2,0.072198
2017-08-20,3,299.1
2017-08-21,1,4016.0
2017-08-21,2,0.08052
2017-08-21,3,323.29
2017-08-22,1,4040.0
2017-08-22,2,0.076825
2017-08-22,3,309.8
2017-08-23,1,4114.01
2017-08-23,2,0.07706
2017-08-23,3,315.74
2017-08-24,1,4316.01
2017-08-24,2,0.075339
2017-08-24,3,323.42
2017-08-25,1,4280.68
2017-08-25,2,0.076587
2017-08-25,3,327.24
2017-08-26,1,4337.44
2017-08-26,2,0.076647
2017-08-26,3,330.79
2017-08-27,1,4310.01
2017-08-27,2,0.080436
2017-08-27,3,348.13
2017-08-28,1,4386.69
2017-08-28,2,0.079632
2017-08-28,3,346.0
2017-08-29,1,4587.48
2017-08-29,2,0.081551
2017-08-29,3,374.7
2017-08-30,1,4555.14
2017-08-30,2,0.0842
2017-08-30,3,385.93
2017-08-31,1,4724.89
2017-08-31,2,0.081967
2017-08-31,3,384.79
2017-09-01,1,4834.91
2017-09-01,2,0.080849
2017-09-01,3,388.46
2017-09-02,1,4472.14
2017-09-02,2,0.076396
2017-09-02,3,343.14
2017-09-03,1,4509.08
2017-09-03,2,0.075938
2017-09-03,3,341.77
2017-09-04,1,4100.11
2017-09-04,2,0.07032
2017-09-04,3,283.77
2017-09-05,1,4366.47
2017-09-05,2,0.071788
2017-09-05,3,312.09
2017-09-06,1,4619.77
2017-09-06,2,0.072821
2017-09-06,3,335.0
2017-09-07,1,4691.61
2017-09-07,2,0.0716
2017-09-07,3,334.49
2017-09-08,1,4282.8
2017-09-08,2,0.070246
2017-09-08,3,302.99
2017-09-09,1,4258.81
2017-09-09,2,0.070151
2017-09-09,3,296.74
2017-09-10,1,4130.37
2017-09-10,2,0.070127
2017-09-10,3,293.5
2017-09-11,1,4208.47
2017-09-11,2,0.07063
2017-09-11,3,297.3
2017-09-12,1,4163.72
2017-09-12,2,0.0706
2017-09-12,3,293.96
2017-09-13,1,3944.69
2017-09-13,2,0.071468
2017-09-13,3,276.91
2017-09-14,1,3189.02
2017-09-14,2,0.068765
2017-09-14,3,215.21
2017-09-15,1,3700.0
2017-09-15,2,0.069512
2017-09-15,3,253.0
2017-09-16,1,3714.95
2017-09-16,2,0.068315
2017-09-16,3,249.31
2017-09-17,1,3699.99
2017-09-17,2,0.069848
2017-09-17,3,257.55
2017-09-18,1,4035.01
2017-09-18,2,0.0731
2017-09-18,3,294.57
2017-09-19,1,3910.04
2017-09-19,2,0.072525
2017-09-19,3,284.0
2017-09-20,1,3900.0
2017-09-20,2,0.073345
2017-09-20,3,282.0
2017-09-21,1,3609.99
2017-09-21,2,0.07141
