id_asset,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2,2017-07-14,0.08,0.091033,0.08,0.090993,1942.057,2017-07-14 23:59:59.999,170.23852396,1994,1076.405,94.82527222,0.0
2,2017-07-15,0.090993,0.093699,0.087127,0.087635,4013.066,2017-07-15 23:59:59.999,363.03178785,4623,2250.318,203.54149755,0.0
2,2017-07-16,0.087508,0.087635,0.075591,0.082241,8904.158,2017-07-16 23:59:59.999,722.21248196,8137,5557.575,450.34388688,0.0
2,2017-07-17,0.082368,0.088394,0.081699,0.087537,6650.933,2017-07-17 23:59:59.999,568.24653804,7639,3859.485,329.66875309,0.0
2,2017-07-18,0.087831,0.109068,0.084777,0.107732,7245.741,2017-07-18 23:59:59.999,674.49785037,8121,4202.055,393.11140275,0.0
2,2017-07-19,0.107732,0.108732,0.08429,0.086853,7384.976,2017-07-19 23:59:59.999,723.00911562,8314,4794.262,468.26023838,0.0
2,2017-07-20,0.087144,0.095252,0.074982,0.080509,6395.16,2017-07-20 23:59:59.999,564.01770441,6535,4266.261,375.19828457,0.0
2,2017-07-21,0.080383,0.087511,0.079635,0.081581,7434.389,2017-07-21 23:59:59.999,618.20894652,7839,4604.947,382.99257488,0.0
2,2017-07-22,0.081586,0.084733,0.079856,0.082474,7979.899,2017-07-22 23:59:59.999,651.60703581,8841,4460.358,364.37225928,0.0
2,2017-07-23,0.082312,0.08456,0.081417,0.083533,6340.799,2017-07-23 23:59:59.999,527.55598124,7032,3714.152,309.05616001,0.0
2,2017-07-24,0.083438,0.083973,0.082265,0.083161,7380.244,2017-07-24 23:59:59.999,612.72702417,8346,3931.116,326.44455142,0.0
2,2017-07-25,0.083149,0.083149,0.075482,0.079654,7845.032,2017-07-25 23:59:59.999,634.98369428,8099,4588.865,371.28600482,0.0
2,2017-07-26,0.079676,0.081172,0.07761,0.079892,7496.738,2017-07-26 23:59:59.999,599.43177658,8700,4326.597,345.79967266,0.0
2,2017-07-27,0.079815,0.081867,0.077059,0.077449,8311.206,2017-07-27 23:59:59.999,667.17746185,9001,4442.543,356.68582013,0.0
2,2017-07-28,0.077059,0.077859,0.066827,0.068802,11013.824,2017-07-28 23:59:59.999,790.35738935,11121,5919.016,425.02549738,0.0
2,2017-07-29,0.068797,0.076814,0.064335,0.075773,14305.369,2017-07-29 23:59:59.999,982.45449195,13734,7259.966,498.44887227,0.0
