id_asset,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2,2017-07-01,0.08,0.109068,0.064335,0.072484,145662.806,2017-07-31 23:59:59.999,11679.08170324,153788,81954.202,6613.60877069,0.0
1,2017-08-01,4261.48,4745.42,3400.0,4724.89,10015.640272,2017-08-31 23:59:59.999,42538297.66482722,69180,4610.019431,19419232.11660334,0.0
2,2017-08-01,0.072459,0.093578,0.066161,0.081967,766861.27,2017-08-31 23:59:59.999,59620.76031049,673300,380828.352,29663.69032734,0.0
3,2017-08-01,301.13,393.71,144.21,384.79,82652.55971,2017-08-31 23:59:59.999,26893681.6680883,73552,39482.83079,12562790.4970543,0.0
1,2017-09-01,4689.89,4939.19,2817.0,4378.51,27634.18912,2017-09-30 23:59:59.999,110493081.58501816,228745,12353.170043,49199923.91602857,0.0
2,2017-09-01,0.081967,0.084408,0.065,0.070062,725368.944,2017-09-30 23:59:59.999,52922.54522001,711779,365801.171,26735.14436649,0.0
3,2017-09-01,386.44,394.39,192.0,304.36,167937.12444,2017-09-30 23:59:59.999,48459503.7647641,177180,67357.65754,19437057.0293516,0.0
1,2017-10-01,4378.49,6498.01,4110.0,6463.0,41626.388463,2017-10-31 23:59:59.999,228736757.83148792,303389,19231.858853,105340098.61188824,0.0
2,2017-10-01,0.070181,0.072239,0.04681,0.047001,1018153.265,2017-10-31 23:59:59.999,60176.84070761,965251,485144.025,28689.44616371,0.0
3,2017-10-01,305.13,354.0,272.2,304.9,231137.83697,2017-10-31 23:59:59.999,70977397.8661655,214648,106366.51773,32739285.7441021,0.0
1,2017-11-01,6463.0,11300.03,5325.01,9838.96,108487.978119,2017-11-30 23:59:59.999,892748838.3973899,577424,55476.983538,464487575.8998088,0.0
2,2017-11-01,0.047001,0.059401,0.037589,0.043651,2691877.404,2017-11-30 23:59:59.999,125471.57937802,1975227,1262385.991,58880.62196136,0.0
3,2017-11-01,304.89,515.0,274.73,427.43,558140.09976,2017-11-30 23:59:59.999,210287277.1838638,362825,266326.22077,100867631.5648774,0.0
1,2017-12-01,9837.0,19798.68,9380.0,13716.36,408476.658399,2017-12-31 23:59:59.999,5975573892.335594,3082883,213940.587099,3122653751.3487988,0.0
2,2017-12-01,0.043684,0.055449,0.023121,0.053586,7393384.545,2017-12-31 23:59:59.999,320093.16971899,8014979,3570088.56,154081.26167865,0.0
3,2017-12-01,428.05,864.9,375.01,733.98,1709681.42863,2017-12-31 23:59:59.999,1095175756.3566396,1717737,842709.36626,544361499.9890447,0.0
1,2018-01-01,13715.65,17176.24,9035.0,10285.1,816675.564467,2018-01-31 23:59:59.999,9979686765.57534,7214977,405900.525084,4998781571.24693,0.0
2,2018-01-01,0.053586,0.110879,0.05104,0.109451,9707504.374,2018-01-31 23:59:59.999,777885.57141346,15546296,4610973.312,369199.06240619,0.0
3,2018-01-01,733.01,1440.0,716.8,1124.81,4449875.05067,2018-01-31 23:59:59.999,4733420445.536429,5243958,2185454.09713,2327635542.9950147,0.0
1,2018-02-01,10285.1,11786.01,6000.01,10326.76,1243940.85531,2018-02-28 23:59:59.999,11576600898.496582,11684784,605296.665626,5637272324.135996,0.0
2,2018-02-01,0.109451,0.123799,0.070828,0.082605,3512506.663,2018-02-28 23:59:59.999,335013.72910003,10990295,1681244.755,160007.43986472,0.0
3,2018-02-01,1125.96,1164.99,570.1,853.5,4763007.17082,2018-02-28 23:59:59.999,4027935296.1177616,7645670,2338648.9503,1978346935.9737659,0.0
1,2018-03-01,10325.64,11710.0,6600.1,6923.91,1235326.31402,2018-03-31 23:59:59.999,10789435243.860197,9237002,600809.010645,5248981630.130889,0.0
2,2018-03-01,0.082674,0.082999,0.053998,0.056859,3650456.779,2018-03-31 23:59:59.999,245057.84405547,9766075,1814747.542,121729.09395894,0.0
