event,event_time,symbol,kline_open_time,kline_close_time,symbol,interval,first_trade_id,last_trade_id,open_price,close_price,highest_price,lowest_price,base_asset_volume,number_of_trades,is_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
kline,1685574992457,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340855,1868.81000000,1868.80000000,1868.81000000,1868.80000000,9.16200000,61,False,17121.97934700,3.37470000,6306.67310700,0
kline,1685574994860,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340862,1868.81000000,1868.81000000,1868.81000000,1868.80000000,9.57300000,68,False,17890.05886600,3.64660000,6814.80254600,0
kline,1685574997457,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340867,1868.81000000,1868.80000000,1868.81000000,1868.80000000,9.77710000,73,False,18271.48094600,3.64660000,6814.80254600,0
kline,1685575000205,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340870,1868.81000000,1868.81000000,1868.81000000,1868.80000000,9.81230000,76,False,18337.26299000,3.67500000,6867.87675000,0
kline,1685575002458,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340882,1868.81000000,1868.82000000,1868.82000000,1868.80000000,16.24300000,88,False,30355.01363800,9.12380000,17050.65267800,0
kline,1685575005458,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340887,1868.81000000,1868.85000000,1868.86000000,1868.80000000,17.09420000,93,False,31945.78702400,9.95040000,18595.45235400,0
kline,1685575010715,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340888,1868.81000000,1868.85000000,1868.86000000,1868.80000000,17.19420000,94,False,32132.67202400,9.95040000,18595.45235400,0
kline,1685575012854,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340890,1868.81000000,1868.86000000,1868.86000000,1868.80000000,17.41120000,96,False,32538.21354400,10.05740000,18795.42037400,0
kline,1685575015167,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340969,1868.81000000,1869.71000000,1869.72000000,1868.80000000,75.67210000,175,False,141452.75313200,62.97200000,117715.55343000,0
kline,1685575017457,ETHUSDT,1685574960000,1685575019999,ETHUSDT,1m,1158340795,1158340975,1868.81000000,1869.71000000,1869.72000000,1868.80000000,77.43430000,181,False,144747.57303600,64.66620000,120883.23305400,0
